"","Attitude","gender","Age","Stra","Deep","Points","Surf"
"90",3,"F",30,3.375,3.83333333333333,19,2.75
"91",2.9,"F",21,2.25,3.66666666666667,21,3.91666666666667
"92",3.3,"M",23,3,3.83333333333333,24,2.33333333333333
"93",3.3,"F",21,4,3.83333333333333,28,2.75
"94",3.5,"F",21,3.5,3.83333333333333,17,2.75
"95",3.6,"F",20,2.625,3.66666666666667,18,2.91666666666667
"96",3.7,"M",22,2.5,4.33333333333333,17,2.08333333333333
"97",4.2,"M",21,3.75,3.75,23,3.66666666666667
"98",3.2,"M",21,3.625,4.16666666666667,26,2.83333333333333
"99",5,"F",20,4.125,4,28,3.41666666666667
"100",4.7,"M",22,4.375,4,31,1.58333333333333
"101",3.6,"F",20,2.625,4.58333333333333,27,2.91666666666667
"102",3.6,"F",20,4,3.66666666666667,25,3
"103",2.9,"M",24,2.75,3.66666666666667,23,2.91666666666667
"104",3.5,"F",20,2.75,3.83333333333333,21,2.66666666666667
"105",4,"F",19,1.375,2.58333333333333,27,3
"106",3.5,"F",21,2.25,3.5,28,2.75
"107",3.2,"F",21,3.625,3.08333333333333,23,3.08333333333333
"108",2.6,"F",22,3.75,4.25,21,2.5
"109",2,"F",25,4,3.16666666666667,25,2.33333333333333
"110",2.7,"F",21,3.125,3.08333333333333,11,3
"111",3.2,"F",22,3.25,4.16666666666667,19,3
"112",3.3,"F",25,2.125,2.25,24,4
"113",3.9,"F",20,2.875,3.33333333333333,28,3.25
"114",3.3,"M",24,1.5,3.08333333333333,21,3.5
"115",3,"F",20,2.5,2.75,24,3.5
"116",3.7,"M",21,3.25,3.25,24,3.83333333333333
"117",2.5,"F",20,3.625,4,20,2.91666666666667
"118",2.9,"F",20,3.875,3.58333333333333,19,2.16666666666667
"119",3.9,"M",31,3.875,4.08333333333333,30,1.66666666666667
"120",3.6,"F",20,2.375,4.25,22,2.08333333333333
"121",2.9,"F",22,3,3.41666666666667,16,2.83333333333333
"122",2.1,"F",22,3.375,3.08333333333333,16,3.41666666666667
"123",3.1,"M",21,2.75,3.5,19,3.33333333333333
"124",4,"M",22,4.5,3.66666666666667,30,2.58333333333333
"125",3.1,"F",21,2.625,4.25,23,2.83333333333333
"126",2.3,"F",21,2.75,4.25,19,3.33333333333333
"127",2.8,"F",21,3.25,3.83333333333333,18,3
"128",3.7,"F",21,4.125,4.41666666666667,28,2.58333333333333
"129",2.6,"F",20,3.375,3.5,21,2.41666666666667
"130",2.4,"F",21,2.75,3.58333333333333,19,3.58333333333333
"131",3,"F",25,4.125,3.66666666666667,27,2.08333333333333
"132",2.8,"M",21,3.25,2.08333333333333,24,4.33333333333333
"133",2.9,"F",24,2.875,4.25,21,2.66666666666667
"134",2.4,"F",20,2.875,3.58333333333333,20,3
"135",3.1,"M",21,2.375,4,28,2.66666666666667
"136",1.9,"F",20,3.875,3.33333333333333,12,2.16666666666667
"137",2,"F",20,2.125,3.5,21,2.66666666666667
"138",3.8,"F",18,4,3.16666666666667,28,2.25
"139",3.4,"F",21,3.25,3.58333333333333,31,2.66666666666667
"140",3.7,"F",19,2.625,3.41666666666667,18,3.33333333333333
"141",2.9,"F",21,2.75,4.25,25,3.5
"142",2.3,"F",20,4,3.25,19,2.75
"143",4.1,"M",21,3,4.41666666666667,21,2
"144",2.7,"F",20,3.375,3.25,16,2.83333333333333
"145",3.5,"F",21,3.875,3.91666666666667,7,3.5
"146",3.4,"F",20,3.25,3.58333333333333,21,2.5
"147",3.2,"F",18,3.375,4.5,17,3.16666666666667
"148",3.3,"M",22,4.125,3.58333333333333,22,3.08333333333333
"149",3.3,"F",22,3.5,3.66666666666667,18,2.91666666666667
"150",3.5,"M",24,2,2.58333333333333,25,3.16666666666667
"151",3.2,"F",19,3.625,4.16666666666667,24,2.5
"152",3.1,"F",20,3.375,3.25,23,3.83333333333333
"153",2.8,"F",20,2.125,4.33333333333333,23,2.25
"154",1.7,"F",17,4.625,3.91666666666667,26,3.41666666666667
"155",1.9,"M",19,2.5,2.66666666666667,12,3.75
"156",3.5,"F",20,2.875,3.08333333333333,32,3
"157",2.4,"F",20,2.75,3.75,22,2.58333333333333
"158",2.1,"F",20,4,4.16666666666667,20,3.33333333333333
"159",2.9,"F",20,2.375,4.16666666666667,21,2.83333333333333
"160",1.9,"F",19,3.875,3.25,23,3
"161",2,"F",19,3.375,4.08333333333333,20,2.83333333333333
"162",4.2,"F",22,1.75,2.91666666666667,28,3.16666666666667
"163",4.1,"M",35,3,3.83333333333333,31,2.75
"164",3.7,"F",18,2.625,3.16666666666667,18,3.41666666666667
"165",3.6,"F",19,2.625,3.41666666666667,30,3
"166",1.8,"M",21,3.375,4.08333333333333,19,2.66666666666667
